nombre,tipo,horario,contacto,lat,lon
Floreria Clavariana,Floreria,L-S:(8:30-12:30)(15:30-20:30),099327007,-32.317895, -58.085205
La Granja,Especias,L-S:(8:30-12:30)(15:30-20:30),094937101,-32.317918, -58.085070
Col,Ropa,L-V(8:30-12:00)(14:00-18:30) || S:(8:30-12:00),,-32.317922, -58.084925
Pancho,Jugueteria,L-V:(8:30-12:00)(14:30-19:00) || S:(9:00-13:00),47231868, -32.317936, -58.084790
Solyana,Regaleria,L-V:(8:30-19:30) || S:(9:00-13:00)(16:00-19:00),,-32.317940, -58.084670
Eleven,Kiosko,,,-32.317960, -58.084543
Antel Reparaciones,Antel,L-V(8:30-19:00) || S:(9:00-13:00),47239440,-32.31798, -58.084415
Becho Becho,Comida,,,-32.318004, -58.084304
Sumec,Credito,L-V(8:30-12:00)(14:00-18:30),47242000,-32.318054, -58.085235
Promusica,Casa de Musica,L-V(8:30-12:30)(14:30-19:30) || S(8:30-12:30)(15:00-19:00),,-32.318072,-58.085098
Kentia,Floreria,L-V(7:00-12:00)(14:30-19:00) || S(7:00-12:30),47223206,-32.318094,-58.08495
JC Importaciones,Bazar,L-V(8:30-12:00)(13:00-19:30) || S(8:30-12:30)(13:00-20:00),,-32.318097, -58.084811
Isabella Boutique,Boutique,(9:00-12:30)(14:00-19:30),47239248,-32.318113, -58.084669
Riff Collection,Boutique,(9:00-12:00)(15:00-19:30),098110451,-32.318129, -58.08452
SUX Market Kiosko,Kiosko,L-V(7:00-24:00) || S(7:30-16:00),098359285,-32.31815, -58.084365